feature	r2_score	Metadata_number_of_singlecells	Metadata_treatment	Metadata_dose	treatment	dose
Cytoplasm_AreaShape_Zernike_4_4	7.962902265834515e-05	3.548781349036801e-05	-0.0177049046068748	0.010030850676268023	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_AreaShape_Zernike_5_1	0.0015750309964351894	7.95627880774776e-05	-0.10036853050204914	0.020276641016635386	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_AreaShape_Zernike_5_3	3.341970283465834e-05	-2.352245512941504e-05	-0.012935985403011782	0.002558228305364592	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_AreaShape_Zernike_5_5	2.7263240378716525e-05	6.301795740316809e-06	0.007098093290540251	-0.009498954389302379	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_AreaShape_Zernike_6_0	0.0004907813156724838	5.1648740796846694e-05	-0.07210354295337895	0.030301531789497106	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_AreaShape_Zernike_6_2	0.0005137036172262466	5.53915847836355e-05	-0.05860138809541692	0.015023147409785274	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_AreaShape_Zernike_6_4	6.116229411878837e-05	-1.4430959241693073e-05	-0.0014598526688080788	-0.008024215465176145	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_AreaShape_Zernike_6_6	3.7726070449051186e-05	2.6949172357897058e-05	0.018160891070296743	-0.011692937611277113	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_AreaShape_Zernike_7_1	0.0004302596672932646	3.0244221274423826e-05	-0.06276926663602873	0.017128503161828484	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_AreaShape_Zernike_7_3	0.00014739799861085423	4.122562176803965e-05	-0.0259382917614158	0.00704672916804616	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_AreaShape_Zernike_7_5	1.0374160850701308e-05	-4.45946450766493e-06	0.0044134568855043734	-0.0056272997540651425	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_AreaShape_Zernike_7_7	0.0001057001572402072	-2.5982760426709993e-05	-0.04089708975182998	0.016070925165793472	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_AreaShape_Zernike_8_0	8.250339244564309e-05	1.8588241273547137e-05	-0.028690990372719022	0.010005371081458547	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_AreaShape_Zernike_8_2	0.00020146341153537417	5.8330314942988835e-05	-0.020157547740732536	0.003629928929854954	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_AreaShape_Zernike_8_4	0.00011573811586207405	2.189583029898844e-05	-0.018905605239998593	-0.000689683529754531	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_AreaShape_Zernike_8_6	7.527209149826852e-05	1.6594221125526436e-06	0.028879634298312293	-0.021119880304044998	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_AreaShape_Zernike_8_8	9.257299717790879e-05	5.1268011222593104e-05	0.005748510875273455	-0.0032730979750829	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_AreaShape_Zernike_9_1	7.7706152991186e-05	2.0452442397572308e-05	-0.00235848762703826	-0.00839012773088034	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_AreaShape_Zernike_9_3	5.926155755775486e-05	-6.722534611730523e-07	0.032410326747958816	-0.018089377493698676	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_AreaShape_Zernike_9_5	0.00011350661991749167	3.213323896510892e-05	0.036906114588816596	-0.012000083992238685	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_AreaShape_Zernike_9_7	0.00011569606190375836	-5.6880065470651664e-05	-0.011669402365763026	0.0036392276374529373	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_AreaShape_Zernike_9_9	1.696784811611174e-05	-1.4823139883257249e-05	-0.014562436035127774	0.009154509652167145	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_Correlation_CorrDNA_CorrER	0.006033987734928248	-0.00027557828889484594	-0.16413475649028655	0.00974452814503863	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_Correlation_CorrDNA_CorrGasdermin	0.005227797468864814	-0.0003050358051093143	0.004896855078079226	-0.06356992675169766	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_Correlation_CorrDNA_CorrMito	0.007225396650977767	-0.0004082417432238105	0.018763328621707976	-0.06309245009345223	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_Correlation_CorrDNA_CorrPM	0.004269491297539507	-0.00020885687807740733	-0.14447621075488518	0.0067309612952359335	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_Correlation_CorrDNA_CorrRNA	0.006003690506150905	-0.0003152475632857427	-0.1418511451136162	0.0013940277470510729	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_Correlation_CorrER_CorrGasdermin	0.0037580897594490237	-0.0002292037436813419	-0.11720193231631977	0.012069765701447998	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_Correlation_CorrER_CorrMito	0.0030528205113187212	-0.00020425174686395587	-0.08404917234054317	-0.0007038451211471824	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_Correlation_CorrER_CorrPM	0.007152991641020678	-0.00015556861052981743	-0.2349304763430119	0.034399332148120305	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_Correlation_CorrER_CorrRNA	0.0014677563416722883	-0.00016698394097109883	-0.06750210832918699	-0.004074982198780348	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_Correlation_CorrGasdermin_CorrMito	0.002400696179590378	-0.00016021705546547164	0.05425235702288118	0.003193960274920613	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_Correlation_CorrGasdermin_CorrPM	0.0074871387681457735	-0.0002599549671638882	-0.20913076744973125	0.01964423913327077	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_Correlation_CorrGasdermin_CorrRNA	0.004621497531439589	-0.0002491867405422133	-0.0980884361168059	-0.0039406271933022895	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_Correlation_CorrMito_CorrPM	0.00875671543605383	-0.00026123541121197855	-0.21369662610336104	0.010021493203235171	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_Correlation_CorrMito_CorrRNA	0.003783976025122371	-0.00021800810701876741	-0.05853142344224668	-0.020153107945933172	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_Correlation_CorrPM_CorrRNA	0.007151757090899324	-0.00014469501871754924	-0.240188424965397	0.03572159354740709	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_K_CorrDNA_CorrER	0.0012171194210810476	4.7338684122975446e-05	0.08541054886154426	-0.026440544831439195	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_K_CorrDNA_CorrGasdermin	0.00740734284983624	0.00012414511690387158	0.11099416912828917	-0.01718833662794643	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_K_CorrDNA_CorrMito	0.009975903136746012	0.00016259547239293076	0.22648926827959956	-0.025439684510856844	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_K_CorrDNA_CorrPM	0.0030312316735949807	0.00014648304702649575	0.3769884572883121	-0.13227200877516132	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_K_CorrDNA_CorrRNA	0.00214449982999676	6.546603245986758e-05	0.08432357469038547	-0.02994840168002213	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_K_CorrER_CorrDNA	0.002636758504841241	-1.1432322722312544e-05	-0.1554058942152445	0.03470975592718373	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_K_CorrER_CorrGasdermin	0.004168406892863574	0.00013474206953184863	0.02261710325934041	0.0136041622702824	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_K_CorrER_CorrMito	0.006014659111006626	0.00014829110559627342	0.04605854834519408	0.03350579065000267	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_K_CorrER_CorrPM	0.00023922196674752705	0.00024384840542366937	-0.05917130589612814	0.014074458644951802	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_K_CorrER_CorrRNA	0.0053140136092320045	0.0005020974767221654	-0.13160289846349071	0.0033783737621344255	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_K_CorrGasdermin_CorrDNA	0.014786906880408734	-0.0003457253398680155	-0.2523478092542774	0.023404473960552157	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_K_CorrGasdermin_CorrER	0.0030572357589014887	-0.00020813934784327036	-0.04963079257024828	-0.001379697188883212	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_K_CorrGasdermin_CorrMito	0.05633691444385713	-0.0009389710954142215	0.008905693342097775	0.12780798216228018	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_K_CorrGasdermin_CorrPM	0.006745457445158087	-0.0005450141448942087	-0.13482051173341528	-0.05652134171995939	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_K_CorrGasdermin_CorrRNA	0.008549827187886438	-0.0002835586907368854	-0.11999085119761287	-0.01453103274459245	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_K_CorrMito_CorrDNA	0.01403786456779288	-0.00018260902921591192	-0.23267754302740232	0.002089421069209098	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_K_CorrMito_CorrER	0.0010743401892002735	-5.4004126376993695e-05	-0.027938400232905537	-0.011445278079121591	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_K_CorrMito_CorrGasdermin	0.01075937674067906	0.00024400877277154506	-0.0076378701820043905	-0.038451454831748375	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_K_CorrMito_CorrPM	0.005884504666690438	-0.00024139970777542098	-0.11986207194066797	-0.08447673689405405	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_K_CorrMito_CorrRNA	0.00391833750994075	-3.8578384643346344e-05	-0.05738506907686264	-0.019822006139834446	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_K_CorrPM_CorrDNA	0.0020188790820483415	-9.291874037609894e-05	-0.15379006826530944	0.0446004796936829	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_K_CorrPM_CorrER	0.0002544574793647003	2.48797719297347e-06	-0.002700664291847979	0.017266121662346205	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_K_CorrPM_CorrGasdermin	0.008706231603339165	0.00020532648788617916	0.06697718072052514	0.03782877984539854	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_K_CorrPM_CorrMito	0.01099274985817289	0.00015097134538396108	0.0967088672800871	0.06653368704721657	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_K_CorrPM_CorrRNA	0.0004708038140694981	6.321553075772241e-05	-0.03086497046313994	0.0212034531316332	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_K_CorrRNA_CorrDNA	0.001922524165880124	-0.00011300932912648326	-0.137455031363093	0.03580590205702017	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_K_CorrRNA_CorrER	0.009441939067462046	-0.00036791540352146046	0.10488529976043334	0.012939425059257815	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_K_CorrRNA_CorrGasdermin	0.005883064447784747	0.00012046647784981517	0.04477311167685391	0.017957405906460562	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_K_CorrRNA_CorrMito	0.011165693561732248	0.00012239956011354716	0.09871699588766243	0.047732046338266665	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_K_CorrRNA_CorrPM	0.0009797659649976032	-0.0001390311131804239	0.050952783367530875	-0.03531367126885253	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_Manders_CorrDNA_CorrER	0.0005275118828809156	2.7162899286180602e-05	-0.08117329976623461	0.03532883175349988	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_Manders_CorrDNA_CorrGasdermin	0.00023177893295989183	6.56685204987685e-05	0.0006756117955718136	0.000607452681351592	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_Manders_CorrDNA_CorrMito	0.0004887139430949095	9.569787731987307e-05	-0.025365504036638266	0.010661252868317539	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_Manders_CorrDNA_CorrPM	0.0003995787570828524	8.871263638634812e-05	-0.06072184403019499	0.014912898899488108	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_Manders_CorrDNA_CorrRNA	0.00012580478003032525	2.6435329039414385e-05	-0.004308820310035612	-0.007426564050928537	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_Manders_CorrER_CorrDNA	0.006639887118106369	0.00018418436425585865	0.2903402507678025	-0.08617630582632357	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_Manders_CorrER_CorrGasdermin	0.0008161013997076694	0.00012721798387561824	0.00796945350909303	-0.00453935483618845	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_Manders_CorrER_CorrMito	0.0015400545148588352	0.00018605224106721724	-0.00549956650256158	0.0001590288156395435	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_Manders_CorrER_CorrPM	0.0003588008658614861	7.59339918380491e-05	-0.053103357426388116	0.010351194382178446	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_Manders_CorrER_CorrRNA	0.0011376534537745897	0.0002530902039991468	0.054174246365153306	-0.026798072675906878	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_Manders_CorrGasdermin_CorrDNA	0.00802188676972826	0.00019427322603241535	0.3047308707973971	-0.08272860901177387	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_Manders_CorrGasdermin_CorrER	0.0016648785254522735	0.00012465958762685535	-0.07793171040196357	0.0582771934325315	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_Manders_CorrGasdermin_CorrMito	0.0008283747038719813	0.00011404391335844074	-0.005251929475559348	0.01657089591046596	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_Manders_CorrGasdermin_CorrPM	0.0003908766039799616	6.221683305665681e-05	-0.07676277940504406	0.017403883386418236	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_Manders_CorrGasdermin_CorrRNA	0.00038270170093401834	8.106303931863481e-05	0.0035826980091597928	0.006645539374202947	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_Manders_CorrMito_CorrDNA	0.008142910104857903	0.00017874349064371915	0.30741227417999334	-0.08171922833623532	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_Manders_CorrMito_CorrER	0.0014334622306728662	0.00010724911497480538	-0.07494710040359513	0.058054281748991285	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_Manders_CorrMito_CorrGasdermin	7.726208834379911e-05	5.513772952613526e-07	0.0182926875680741	-0.002687279803946337	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_Manders_CorrMito_CorrPM	0.0003581517597140982	5.405217356840399e-05	-0.07278662387658283	0.019355938381465064	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_Manders_CorrMito_CorrRNA	0.00028301901831695453	6.566418339202696e-05	0.005369149618955919	0.006994160770148554	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_Manders_CorrPM_CorrDNA	0.007487267532719555	0.0002351264157842241	0.29655287160637106	-0.08307472689644929	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_Manders_CorrPM_CorrER	0.0027736258622120813	0.00021168587705003872	-0.08523358973111773	0.054301533210418924	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_Manders_CorrPM_CorrGasdermin	0.0016951376569200871	0.00019392766354544753	-0.012689894542858819	-0.004619503356046941	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_Manders_CorrPM_CorrMito	0.0026348131449733803	0.0002534444674752418	-0.026234368724439367	-0.0008982966846925256	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_Manders_CorrPM_CorrRNA	0.0016722201288353888	0.00019493709661856388	0.019813599859814828	-0.0007633197194160941	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_Manders_CorrRNA_CorrDNA	0.0065690661664542516	0.000187400786752809	0.2844494382559531	-0.08211604474028661	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_Manders_CorrRNA_CorrER	0.0017673227508330225	0.00011886699894117768	-0.1133841086411724	0.06744429146300256	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_Manders_CorrRNA_CorrGasdermin	0.0007467908802633039	0.00011526751937565805	-0.01701582065524168	0.0025026475151247534	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_Manders_CorrRNA_CorrMito	0.0015034021485799132	0.000174397696388116	-0.0354447920561846	0.008026148861469457	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_Manders_CorrRNA_CorrPM	0.00023438560454924762	2.4424328595250495e-05	-0.0609320270279006	0.021362687014453218	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_Overlap_CorrDNA_CorrER	0.002288086513523746	-0.00011841393647700116	-0.1653435044940243	0.04640741184126242	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_Overlap_CorrDNA_CorrGasdermin	0.003214346651124189	-0.00027160646853396193	0.015483198757219832	-0.03423908108111916	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_Overlap_CorrDNA_CorrMito	0.005265694621579553	-0.00035892010863293217	0.031156970450224676	-0.03863860895827432	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_Overlap_CorrDNA_CorrPM	0.0008764459970908023	-0.0001569380455037158	-0.06342685284575725	0.029546389783614183	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_Overlap_CorrDNA_CorrRNA	0.001438458018240274	-0.00017827070223364101	-0.07687847784441007	0.016845802791693665	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_Overlap_CorrER_CorrGasdermin	0.0013614364039926663	2.4556985996611564e-05	-0.12424901559788276	0.04238962239298105	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_Overlap_CorrER_CorrMito	0.0013717864710686145	1.9638812492069783e-05	-0.12287202925600832	0.036822508057522844	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_Overlap_CorrER_CorrPM	0.00597645516056966	3.992499095005594e-05	-0.27320423897219076	0.0847676764408547	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_Overlap_CorrER_CorrRNA	0.0027538153692754364	0.0001231058462816153	-0.19214507790056357	0.07038222464026479	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_Overlap_CorrGasdermin_CorrMito	0.00040481453703800074	-3.502985672231488e-05	0.036128367537781654	-0.0010020191332952566	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_Overlap_CorrGasdermin_CorrPM	0.00659397896546654	-0.00020147725640565534	-0.19624085083431636	0.01251607341437751	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_Overlap_CorrGasdermin_CorrRNA	0.0006549469138139585	-1.0224553916309971e-05	-0.0674540890925134	0.012624958942524979	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_Overlap_CorrMito_CorrPM	0.008176651017933634	-0.00020782158639867236	-0.20324849511185192	-0.0011802658706755315	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_Overlap_CorrMito_CorrRNA	0.0009307389356555396	-3.816635649950826e-05	-0.07471648298713311	0.009534786947737286	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_Correlation_Overlap_CorrPM_CorrRNA	0.0038016186293807763	4.307355544485436e-05	-0.20740892387474763	0.06485905979431456	LPS	['10µg_per_ml' '1µg_per_ml' '0']
