features,p.adj.value,group
Nuclei_RadialDistribution_FracAtD_CorrER_4of4,0.049,apoptosis_healthy
Nuclei_Intensity_StdIntensityEdge_CorrER,0.0487,apoptosis_healthy
Nuclei_RadialDistribution_ZernikeMagnitude_CorrMito_4_2,0.0127,apoptosis_healthy
Nuclei_Texture_Contrast_CorrGasdermin_3_01_256,0.0182,apoptosis_healthy
Cells_RadialDistribution_ZernikeMagnitude_CorrMito_9_5,0.034,apoptosis_healthy
Cells_RadialDistribution_ZernikeMagnitude_CorrDNA_4_0,0.0103,apoptosis_healthy
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrMito_7_1,0.0074,apoptosis_healthy
Nuclei_RadialDistribution_ZernikeMagnitude_CorrDNA_7_3,0.0401,apoptosis_healthy
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrMito_5_1,0.0312,apoptosis_healthy
Cells_RadialDistribution_ZernikeMagnitude_CorrMito_3_1,0.0159,apoptosis_healthy
Cells_RadialDistribution_ZernikeMagnitude_CorrMito_6_6,0.0246,apoptosis_healthy
Nuclei_RadialDistribution_MeanFrac_CorrER_1of4,0.0095,apoptosis_healthy
Nuclei_Texture_Contrast_CorrER_3_02_256,0.0241,apoptosis_healthy
Cytoplasm_Texture_InfoMeas2_CorrMito_3_00_256,0.0268,apoptosis_healthy
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrMito_6_4,0.0097,apoptosis_healthy
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrMito_7_3,0.0236,apoptosis_healthy
Nuclei_Texture_Contrast_CorrMito_3_01_256,0.0246,apoptosis_healthy
Cells_RadialDistribution_ZernikeMagnitude_CorrMito_9_7,0.0332,apoptosis_healthy
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrDNA_5_1,0.0146,apoptosis_healthy
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrMito_6_2,0.0496,apoptosis_healthy
Cells_RadialDistribution_ZernikeMagnitude_CorrMito_2_0,0.0142,apoptosis_healthy
Nuclei_RadialDistribution_ZernikeMagnitude_CorrMito_7_5,0.0025,apoptosis_healthy
Cytoplasm_Texture_InverseDifferenceMoment_CorrMito_3_00_256,0.0287,apoptosis_healthy
Cells_RadialDistribution_ZernikeMagnitude_CorrMito_9_9,0.0402,apoptosis_healthy
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrMito_4_4,0.0002,apoptosis_healthy
Cells_Intensity_MaxIntensityEdge_CorrDNA,0.0409,apoptosis_healthy
Nuclei_Texture_Contrast_CorrGasdermin_3_02_256,0.0186,apoptosis_healthy
Nuclei_Intensity_IntegratedIntensity_CorrMito,0.007,apoptosis_healthy
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrMito_7_7,0.0256,apoptosis_healthy
Nuclei_RadialDistribution_FracAtD_CorrMito_1of4,0.0172,apoptosis_healthy
Nuclei_RadialDistribution_ZernikeMagnitude_CorrMito_9_5,0.0123,apoptosis_healthy
Cytoplasm_Texture_DifferenceEntropy_CorrGasdermin_3_01_256,0.0349,apoptosis_healthy
Cells_RadialDistribution_ZernikeMagnitude_CorrDNA_4_2,0.0364,apoptosis_healthy
Cells_Neighbors_FirstClosestDistance_Adjacent,0.0423,apoptosis_healthy
Nuclei_RadialDistribution_ZernikeMagnitude_CorrMito_2_2,0.0113,apoptosis_healthy
Cells_Texture_Contrast_CorrDNA_3_00_256,0.0205,apoptosis_healthy
Nuclei_RadialDistribution_ZernikeMagnitude_CorrMito_4_4,0.0048,apoptosis_healthy
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrER_8_6,0.0108,apoptosis_healthy
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrDNA_3_3,0.0109,apoptosis_healthy
Nuclei_RadialDistribution_ZernikeMagnitude_CorrER_5_3,0.0055,apoptosis_healthy
Nuclei_RadialDistribution_ZernikeMagnitude_CorrDNA_7_1,0.0403,apoptosis_healthy
Cells_RadialDistribution_ZernikeMagnitude_CorrDNA_6_2,0.0001,apoptosis_healthy
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrMito_5_5,0.017,apoptosis_healthy
Cytoplasm_Texture_Correlation_CorrMito_3_02_256,0.0071,apoptosis_healthy
Cells_RadialDistribution_ZernikeMagnitude_CorrMito_1_1,0.0052,apoptosis_healthy
Nuclei_RadialDistribution_ZernikeMagnitude_CorrMito_8_6,0.0037,apoptosis_healthy
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrMito_9_7,0.018,apoptosis_healthy
Cytoplasm_Intensity_MADIntensity_CorrMito,0.0048,apoptosis_healthy
Cells_Correlation_Overlap_CorrDNA_CorrER,0.0104,apoptosis_healthy
Cells_Intensity_StdIntensityEdge_CorrMito,0.0021,apoptosis_healthy
Cytoplasm_Texture_AngularSecondMoment_CorrMito_3_01_256,0.0011,apoptosis_healthy
Nuclei_Correlation_Correlation_CorrDNA_CorrMito,0.0298,apoptosis_healthy
Cells_RadialDistribution_ZernikeMagnitude_CorrMito_8_0,0.0268,apoptosis_healthy
Nuclei_RadialDistribution_ZernikeMagnitude_CorrMito_5_3,0.0037,apoptosis_healthy
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrER_6_4,0.0184,apoptosis_healthy
Nuclei_RadialDistribution_ZernikeMagnitude_CorrER_6_2,0.0085,apoptosis_healthy
Nuclei_RadialDistribution_ZernikeMagnitude_CorrDNA_9_5,0.0325,apoptosis_healthy
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrDNA_4_2,0.0395,apoptosis_healthy
Cells_Intensity_StdIntensityEdge_CorrER,0.0191,apoptosis_healthy
Nuclei_Correlation_K_CorrPM_CorrMito,0.0114,apoptosis_healthy
Cytoplasm_Texture_InverseDifferenceMoment_CorrMito_3_01_256,0.0306,apoptosis_healthy
Cells_RadialDistribution_ZernikeMagnitude_CorrMito_8_8,0.0305,apoptosis_healthy
Nuclei_RadialDistribution_ZernikeMagnitude_CorrDNA_4_2,0.0334,apoptosis_healthy
Cytoplasm_Texture_InfoMeas2_CorrGasdermin_3_02_256,0.0284,apoptosis_healthy
Nuclei_RadialDistribution_FracAtD_CorrER_2of4,0.0494,apoptosis_healthy
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrMito_8_8,0.0179,apoptosis_healthy
Nuclei_Texture_InverseDifferenceMoment_CorrMito_3_02_256,0.0486,apoptosis_healthy
Cells_RadialDistribution_ZernikeMagnitude_CorrMito_5_3,0.0274,apoptosis_healthy
Cells_RadialDistribution_ZernikeMagnitude_CorrMito_7_3,0.0346,apoptosis_healthy
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrMito_8_6,0.0059,apoptosis_healthy
Cells_RadialDistribution_ZernikeMagnitude_CorrDNA_4_4,0.0085,apoptosis_healthy
Nuclei_RadialDistribution_ZernikeMagnitude_CorrMito_9_1,0.0099,apoptosis_healthy
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrDNA_9_3,0.038,apoptosis_healthy
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrDNA_7_7,0.0147,apoptosis_healthy
Nuclei_RadialDistribution_ZernikeMagnitude_CorrMito_6_6,0.0133,apoptosis_healthy
Nuclei_RadialDistribution_ZernikeMagnitude_CorrMito_9_3,0.0049,apoptosis_healthy
Cells_Intensity_MassDisplacement_CorrMito,0.045,apoptosis_healthy
Nuclei_Texture_Contrast_CorrER_3_00_256,0.0272,apoptosis_healthy
Nuclei_Texture_InfoMeas1_CorrDNA_3_03_256,0.0383,apoptosis_healthy
Nuclei_RadialDistribution_ZernikeMagnitude_CorrMito_1_1,0.0243,apoptosis_healthy
Cells_RadialDistribution_ZernikeMagnitude_CorrMito_4_0,0.0334,apoptosis_healthy
Cytoplasm_Intensity_MinIntensity_CorrMito,0.0335,apoptosis_healthy
Nuclei_RadialDistribution_ZernikeMagnitude_CorrER_7_1,0.0019,apoptosis_healthy
Cytoplasm_Texture_DifferenceEntropy_CorrMito_3_03_256,0.0429,apoptosis_healthy
Cells_RadialDistribution_ZernikeMagnitude_CorrMito_8_4,0.0392,apoptosis_healthy
Cells_RadialDistribution_ZernikeMagnitude_CorrDNA_8_0,0.0069,apoptosis_healthy
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrDNA_6_6,0.0406,apoptosis_healthy
Nuclei_RadialDistribution_ZernikeMagnitude_CorrMito_4_0,0.0398,apoptosis_healthy
Cytoplasm_Texture_Variance_CorrDNA_3_01_256,0.0092,apoptosis_healthy
Cells_RadialDistribution_ZernikeMagnitude_CorrMito_3_3,0.0192,apoptosis_healthy
Nuclei_Correlation_K_CorrMito_CorrPM,0.0222,apoptosis_healthy
Nuclei_RadialDistribution_ZernikeMagnitude_CorrMito_7_7,0.0307,apoptosis_healthy
Nuclei_RadialDistribution_ZernikeMagnitude_CorrMito_9_9,0.0378,apoptosis_healthy
Cytoplasm_Texture_InfoMeas1_CorrGasdermin_3_03_256,0.0259,apoptosis_healthy
Cytoplasm_Texture_Entropy_CorrMito_3_02_256,0.0272,apoptosis_healthy
Cells_RadialDistribution_ZernikeMagnitude_CorrDNA_2_2,0.0045,apoptosis_healthy
Nuclei_Correlation_RWC_CorrPM_CorrMito,0.0024,apoptosis_healthy
Nuclei_RadialDistribution_ZernikeMagnitude_CorrER_8_4,0.0011,apoptosis_healthy
Nuclei_RadialDistribution_ZernikeMagnitude_CorrMito_7_3,0.0087,apoptosis_healthy
Nuclei_Intensity_LowerQuartileIntensity_CorrDNA,0.0194,apoptosis_healthy
Cells_RadialDistribution_ZernikeMagnitude_CorrMito_8_6,0.0304,apoptosis_healthy
Cells_RadialDistribution_ZernikeMagnitude_CorrDNA_7_1,0.0133,apoptosis_healthy
Cells_RadialDistribution_ZernikeMagnitude_CorrDNA_9_3,0.0277,apoptosis_healthy
Cells_RadialDistribution_ZernikeMagnitude_CorrDNA_3_3,0.0071,apoptosis_healthy
Nuclei_RadialDistribution_ZernikeMagnitude_CorrER_7_3,0.0035,apoptosis_healthy
Cytoplasm_Texture_InverseDifferenceMoment_CorrMito_3_02_256,0.0274,apoptosis_healthy
Nuclei_Texture_DifferenceEntropy_CorrDNA_3_00_256,0.0459,apoptosis_healthy
Cytoplasm_Texture_InfoMeas1_CorrMito_3_01_256,0.001,apoptosis_healthy
Cells_RadialDistribution_ZernikeMagnitude_CorrDNA_5_5,0.0187,apoptosis_healthy
Cells_RadialDistribution_ZernikeMagnitude_CorrMito_9_1,0.0339,apoptosis_healthy
Cytoplasm_Texture_InfoMeas1_CorrMito_3_02_256,0.0101,apoptosis_healthy
Nuclei_RadialDistribution_FracAtD_CorrER_1of4,0.0404,apoptosis_healthy
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrDNA_5_3,0.018,apoptosis_healthy
Cells_Neighbors_SecondClosestDistance_Adjacent,0.0422,apoptosis_healthy
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrDNA_4_4,0.0406,apoptosis_healthy
Nuclei_RadialDistribution_ZernikeMagnitude_CorrDNA_8_8,0.0425,apoptosis_healthy
Cytoplasm_Texture_Variance_CorrDNA_3_03_256,0.0069,apoptosis_healthy
Cytoplasm_Texture_SumVariance_CorrMito_3_01_256,0.0113,apoptosis_healthy
Cells_RadialDistribution_ZernikeMagnitude_CorrDNA_6_0,0.0088,apoptosis_healthy
Cells_RadialDistribution_ZernikeMagnitude_CorrDNA_5_3,0.0311,apoptosis_healthy
Cytoplasm_Texture_Variance_CorrDNA_3_00_256,0.0204,apoptosis_healthy
Cytoplasm_Texture_InfoMeas2_CorrGasdermin_3_03_256,0.0303,apoptosis_healthy
Nuclei_Correlation_K_CorrER_CorrMito,0.0481,apoptosis_healthy
Nuclei_RadialDistribution_ZernikeMagnitude_CorrMito_8_4,0.0133,apoptosis_healthy
Nuclei_RadialDistribution_ZernikeMagnitude_CorrMito_3_1,0.0266,apoptosis_healthy
Cells_RadialDistribution_ZernikeMagnitude_CorrMito_9_3,0.0359,apoptosis_healthy
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrMito_5_3,0.0094,apoptosis_healthy
Nuclei_RadialDistribution_ZernikeMagnitude_CorrDNA_5_3,0.0426,apoptosis_healthy
Nuclei_RadialDistribution_ZernikeMagnitude_CorrDNA_9_3,0.0423,apoptosis_healthy
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrMito_9_3,0.0132,apoptosis_healthy
Cells_RadialDistribution_ZernikeMagnitude_CorrDNA_7_3,0.0233,apoptosis_healthy
Nuclei_RadialDistribution_ZernikeMagnitude_CorrER_8_2,0.012,apoptosis_healthy
Cells_RadialDistribution_ZernikeMagnitude_CorrMito_6_2,0.024,apoptosis_healthy
Cells_RadialDistribution_ZernikeMagnitude_CorrDNA_3_1,0.0184,apoptosis_healthy
Nuclei_Texture_Contrast_CorrGasdermin_3_00_256,0.021,apoptosis_healthy
Cytoplasm_Texture_InverseDifferenceMoment_CorrMito_3_03_256,0.0261,apoptosis_healthy
Nuclei_RadialDistribution_ZernikeMagnitude_CorrMito_3_3,0.002,apoptosis_healthy
Nuclei_RadialDistribution_ZernikeMagnitude_CorrMito_9_7,0.0094,apoptosis_healthy
Nuclei_Texture_DifferenceVariance_CorrMito_3_03_256,0.0443,apoptosis_healthy
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrDNA_7_5,0.0305,apoptosis_healthy
Nuclei_RadialDistribution_ZernikeMagnitude_CorrMito_5_5,0.0177,apoptosis_healthy
Nuclei_Correlation_Overlap_CorrDNA_CorrMito,0.0288,apoptosis_healthy
Nuclei_RadialDistribution_ZernikeMagnitude_CorrDNA_8_2,0.041,apoptosis_healthy
Cytoplasm_Texture_SumVariance_CorrDNA_3_02_256,0.0239,apoptosis_healthy
Cells_RadialDistribution_ZernikeMagnitude_CorrMito_6_0,0.035,apoptosis_healthy
Cells_RadialDistribution_ZernikeMagnitude_CorrMito_4_2,0.0349,apoptosis_healthy
Cytoplasm_Texture_SumVariance_CorrMito_3_00_256,0.011,apoptosis_healthy
Cells_Intensity_MADIntensity_CorrER,0.0189,apoptosis_healthy
Cells_RadialDistribution_ZernikeMagnitude_CorrMito_7_5,0.0302,apoptosis_healthy
Nuclei_RadialDistribution_ZernikeMagnitude_CorrER_5_1,0.0193,apoptosis_healthy
Nuclei_RadialDistribution_ZernikeMagnitude_CorrDNA_1_1,0.0419,apoptosis_healthy
Cells_RadialDistribution_ZernikeMagnitude_CorrDNA_8_2,0.0145,apoptosis_healthy
Cells_RadialDistribution_ZernikeMagnitude_CorrMito_5_1,0.0258,apoptosis_healthy
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrMito_4_0,0.0338,apoptosis_healthy
Nuclei_RadialDistribution_ZernikeMagnitude_CorrDNA_8_4,0.0341,apoptosis_healthy
Cytoplasm_Texture_Entropy_CorrMito_3_00_256,0.0301,apoptosis_healthy
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrMito_7_5,0.0115,apoptosis_healthy
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrMito_1_1,0.0074,apoptosis_healthy
Nuclei_Intensity_MeanIntensityEdge_CorrDNA,0.0426,apoptosis_healthy
Cells_Intensity_MassDisplacement_CorrER,0.0388,apoptosis_healthy
Nuclei_RadialDistribution_ZernikeMagnitude_CorrMito_6_0,0.0101,apoptosis_healthy
Cytoplasm_Texture_DifferenceEntropy_CorrGasdermin_3_00_256,0.0411,apoptosis_healthy
Cytoplasm_Texture_DifferenceEntropy_CorrMito_3_01_256,0.0465,apoptosis_healthy
Cells_RadialDistribution_ZernikeMagnitude_CorrMito_2_2,0.0112,apoptosis_healthy
Nuclei_RadialDistribution_ZernikeMagnitude_CorrER_4_0,0.0136,apoptosis_healthy
Nuclei_Correlation_Overlap_CorrDNA_CorrER,0.0004,apoptosis_healthy
Nuclei_RadialDistribution_MeanFrac_CorrMito_3of4,0.0367,apoptosis_healthy
Nuclei_Texture_Contrast_CorrMito_3_03_256,0.0221,apoptosis_healthy
Cells_AreaShape_Zernike_0_0,0.01,apoptosis_healthy
Cells_Intensity_IntegratedIntensityEdge_CorrMito,0.0466,apoptosis_healthy
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrMito_8_4,0.0263,apoptosis_healthy
Cytoplasm_Texture_DifferenceEntropy_CorrDNA_3_02_256,0.0421,apoptosis_pyroptosis
Cytoplasm_Texture_Entropy_CorrDNA_3_00_256,0.0327,apoptosis_pyroptosis
Cells_RadialDistribution_FracAtD_CorrER_2of4,0.0341,apoptosis_pyroptosis
Cells_AreaShape_Compactness,0.0084,apoptosis_pyroptosis
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrPM_8_8,0.0305,apoptosis_pyroptosis
Cytoplasm_Texture_Entropy_CorrDNA_3_02_256,0.0324,apoptosis_pyroptosis
Cytoplasm_Correlation_Correlation_CorrMito_CorrPM,0.0009,apoptosis_pyroptosis
Cells_RadialDistribution_FracAtD_CorrER_4of4,0.0239,apoptosis_pyroptosis
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrGasdermin_2_0,0.0071,apoptosis_pyroptosis
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrDNA_2_0,0.0173,apoptosis_pyroptosis
Cytoplasm_Texture_DifferenceEntropy_CorrDNA_3_00_256,0.0435,apoptosis_pyroptosis
Cells_Intensity_IntegratedIntensityEdge_CorrER,0.0003,apoptosis_pyroptosis
Cells_RadialDistribution_ZernikeMagnitude_CorrPM_6_6,0.0392,apoptosis_pyroptosis
Cells_RadialDistribution_ZernikeMagnitude_CorrDNA_6_4,0.0343,apoptosis_pyroptosis
Nuclei_Texture_InfoMeas2_CorrDNA_3_03_256,0.038,apoptosis_pyroptosis
Nuclei_RadialDistribution_MeanFrac_CorrER_4of4,0.011,apoptosis_pyroptosis
Cells_RadialDistribution_MeanFrac_CorrGasdermin_4of4,0.002,apoptosis_pyroptosis
Cytoplasm_Texture_DifferenceEntropy_CorrDNA_3_03_256,0.041,apoptosis_pyroptosis
Cells_RadialDistribution_ZernikeMagnitude_CorrPM_8_8,0.0478,apoptosis_pyroptosis
Cells_RadialDistribution_FracAtD_CorrMito_2of4,0.0041,apoptosis_pyroptosis
Cells_Texture_InfoMeas2_CorrDNA_3_03_256,0.0282,apoptosis_pyroptosis
Nuclei_RadialDistribution_MeanFrac_CorrMito_2of4,0.0059,apoptosis_pyroptosis
Cytoplasm_Intensity_MADIntensity_CorrDNA,0.0057,apoptosis_pyroptosis
Nuclei_RadialDistribution_ZernikeMagnitude_CorrPM_8_8,0.0398,apoptosis_pyroptosis
Cells_Intensity_IntegratedIntensityEdge_CorrDNA,0.0266,apoptosis_pyroptosis
Nuclei_RadialDistribution_MeanFrac_CorrMito_1of4,0.0204,apoptosis_pyroptosis
Cells_RadialDistribution_FracAtD_CorrPM_1of4,0.0005,apoptosis_pyroptosis
Nuclei_RadialDistribution_ZernikeMagnitude_CorrPM_6_6,0.0274,apoptosis_pyroptosis
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrDNA_1_1,0.0376,apoptosis_pyroptosis
Nuclei_Texture_InverseDifferenceMoment_CorrDNA_3_01_256,0.0134,apoptosis_pyroptosis
Cytoplasm_Texture_SumEntropy_CorrDNA_3_03_256,0.0173,apoptosis_pyroptosis
Cells_AreaShape_FormFactor,0.0022,apoptosis_pyroptosis
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrPM_7_7,0.0489,apoptosis_pyroptosis
Cytoplasm_Intensity_IntegratedIntensity_CorrDNA,0.0046,apoptosis_pyroptosis
Cells_RadialDistribution_MeanFrac_CorrMito_1of4,0.0021,apoptosis_pyroptosis
Cytoplasm_Texture_Entropy_CorrDNA_3_01_256,0.0408,apoptosis_pyroptosis
Nuclei_Texture_InverseDifferenceMoment_CorrDNA_3_03_256,0.0121,apoptosis_pyroptosis
Cells_RadialDistribution_FracAtD_CorrER_3of4,0.0493,apoptosis_pyroptosis
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrPM_6_6,0.0222,apoptosis_pyroptosis
Cells_RadialDistribution_FracAtD_CorrPM_2of4,0.0426,apoptosis_pyroptosis
Nuclei_RadialDistribution_ZernikeMagnitude_CorrDNA_3_3,0.0258,healthy_pyroptosis
Nuclei_Correlation_Correlation_CorrER_CorrGasdermin,0.0006,healthy_pyroptosis
Cytoplasm_AreaShape_Zernike_8_0,0.0006,healthy_pyroptosis
Cytoplasm_Intensity_MADIntensity_CorrPM,0.0143,healthy_pyroptosis
Nuclei_Intensity_MinIntensityEdge_CorrPM,0.0125,healthy_pyroptosis
Nuclei_AreaShape_Zernike_4_4,0.0168,healthy_pyroptosis
Cytoplasm_Texture_InverseDifferenceMoment_CorrPM_3_00_256,0.0072,healthy_pyroptosis
