features,p.adj.value,group,Distinct
Nuclei_RadialDistribution_ZernikeMagnitude_CorrPM_4_4,0.0087,apoptosis_healthy,True
Cells_RadialDistribution_MeanFrac_CorrMito_3of4,0.0109,apoptosis_healthy,True
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrMito_9_3,0.0057,apoptosis_healthy,True
Nuclei_RadialDistribution_RadialCV_CorrDNA_2of4,0.0154,apoptosis_healthy,True
Cytoplasm_Texture_Contrast_CorrDNA_3_00_256,0.0273,apoptosis_healthy,True
Nuclei_RadialDistribution_ZernikeMagnitude_CorrMito_9_9,0.0031,apoptosis_healthy,True
Cytoplasm_Texture_Contrast_CorrDNA_3_01_256,0.0251,apoptosis_healthy,True
Cells_RadialDistribution_ZernikeMagnitude_CorrMito_8_8,0.0195,apoptosis_healthy,True
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrMito_4_4,0.0083,apoptosis_healthy,True
Cytoplasm_Texture_SumVariance_CorrMito_3_00_256,0.027,apoptosis_healthy,True
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrMito_7_5,0.0085,apoptosis_healthy,True
Nuclei_RadialDistribution_ZernikeMagnitude_CorrMito_8_8,0.0048,apoptosis_healthy,True
Nuclei_Correlation_Correlation_CorrDNA_CorrMito,0.0043,apoptosis_healthy,True
Cytoplasm_Texture_Correlation_CorrGasdermin_3_00_256,0.0253,apoptosis_healthy,True
Cytoplasm_Texture_AngularSecondMoment_CorrPM_3_00_256,0.0309,apoptosis_healthy,True
Cytoplasm_Texture_SumEntropy_CorrER_3_01_256,0.0021,apoptosis_healthy,True
Cytoplasm_Texture_Correlation_CorrER_3_01_256,0.0214,apoptosis_healthy,True
Cells_RadialDistribution_ZernikeMagnitude_CorrER_9_5,0.012,apoptosis_healthy,True
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrER_9_7,0.0245,apoptosis_healthy,True
Nuclei_RadialDistribution_ZernikeMagnitude_CorrMito_8_4,0.0182,apoptosis_healthy,True
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrMito_9_5,0.0077,apoptosis_healthy,True
Nuclei_RadialDistribution_ZernikeMagnitude_CorrMito_6_4,0.0464,apoptosis_healthy,True
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrMito_8_4,0.002,apoptosis_healthy,True
Nuclei_RadialDistribution_ZernikeMagnitude_CorrER_5_1,0.0307,apoptosis_healthy,True
Cytoplasm_Texture_InfoMeas2_CorrGasdermin_3_01_256,0.04,apoptosis_healthy,True
Nuclei_Texture_Correlation_CorrPM_3_01_256,0.0194,apoptosis_healthy,True
Cytoplasm_Texture_SumEntropy_CorrER_3_03_256,0.0035,apoptosis_healthy,True
Cytoplasm_Texture_AngularSecondMoment_CorrMito_3_00_256,0.0332,apoptosis_healthy,True
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrER_3_3,0.0159,apoptosis_healthy,True
Nuclei_Texture_InverseDifferenceMoment_CorrER_3_01_256,0.0153,apoptosis_healthy,True
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrER_5_5,0.0025,apoptosis_healthy,True
Cytoplasm_Texture_Correlation_CorrER_3_03_256,0.0201,apoptosis_healthy,True
Cytoplasm_Texture_InverseDifferenceMoment_CorrGasdermin_3_00_256,0.0084,apoptosis_healthy,True
Cytoplasm_Intensity_MassDisplacement_CorrGasdermin,0.0454,apoptosis_healthy,True
Nuclei_Texture_DifferenceVariance_CorrMito_3_03_256,0.0059,apoptosis_healthy,True
Cells_RadialDistribution_ZernikeMagnitude_CorrMito_1_1,0.0016,apoptosis_healthy,True
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrMito_4_0,0.0357,apoptosis_healthy,True
Cells_RadialDistribution_ZernikeMagnitude_CorrDNA_7_7,0.0228,apoptosis_healthy,True
Cytoplasm_Texture_Contrast_CorrDNA_3_02_256,0.0251,apoptosis_healthy,True
Nuclei_Correlation_K_CorrER_CorrGasdermin,0.043,apoptosis_healthy,True
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrMito_6_2,0.0426,apoptosis_healthy,True
Cytoplasm_Texture_SumVariance_CorrMito_3_02_256,0.0214,apoptosis_healthy,True
Cytoplasm_Texture_DifferenceVariance_CorrPM_3_03_256,0.0375,apoptosis_healthy,True
Cells_RadialDistribution_ZernikeMagnitude_CorrER_8_6,0.011,apoptosis_healthy,True
Cytoplasm_AreaShape_Zernike_6_0,0.0133,apoptosis_healthy,True
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrMito_9_7,0.0078,apoptosis_healthy,True
Cytoplasm_Texture_SumVariance_CorrMito_3_01_256,0.0255,apoptosis_healthy,True
Cells_Neighbors_SecondClosestDistance_Adjacent,0.0218,apoptosis_healthy,True
Nuclei_RadialDistribution_ZernikeMagnitude_CorrDNA_2_0,0.0233,apoptosis_healthy,True
Cells_RadialDistribution_ZernikeMagnitude_CorrDNA_8_4,0.008,apoptosis_healthy,True
Cytoplasm_Texture_AngularSecondMoment_CorrMito_3_02_256,0.0417,apoptosis_healthy,True
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrER_7_3,0.0196,apoptosis_healthy,True
Cells_AreaShape_Zernike_1_1,0.0353,apoptosis_healthy,True
Cells_AreaShape_Zernike_4_0,0.0149,apoptosis_healthy,True
Cytoplasm_Texture_Variance_CorrDNA_3_01_256,0.0418,apoptosis_healthy,True
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrER_4_4,0.0154,apoptosis_healthy,True
Cells_RadialDistribution_ZernikeMagnitude_CorrDNA_9_3,0.0019,apoptosis_healthy,True
Cytoplasm_Texture_Correlation_CorrER_3_00_256,0.0255,apoptosis_healthy,True
Cells_RadialDistribution_ZernikeMagnitude_CorrER_6_4,0.017,apoptosis_healthy,True
Cells_RadialDistribution_ZernikeMagnitude_CorrDNA_4_4,0.0315,apoptosis_healthy,True
Cytoplasm_Texture_DifferenceVariance_CorrMito_3_00_256,0.0335,apoptosis_healthy,True
Nuclei_RadialDistribution_ZernikeMagnitude_CorrMito_9_7,0.03,apoptosis_healthy,True
Cytoplasm_Texture_InfoMeas1_CorrMito_3_02_256,0.0296,apoptosis_healthy,True
Cytoplasm_Texture_InverseDifferenceMoment_CorrER_3_01_256,0.0098,apoptosis_healthy,True
Cells_RadialDistribution_RadialCV_CorrDNA_3of4,0.0275,apoptosis_healthy,True
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrMito_7_7,0.0115,apoptosis_healthy,True
Nuclei_Texture_SumEntropy_CorrPM_3_01_256,0.0425,apoptosis_healthy,True
Cytoplasm_Texture_InverseDifferenceMoment_CorrGasdermin_3_03_256,0.0078,apoptosis_healthy,True
Nuclei_Texture_Correlation_CorrDNA_3_01_256,0.044,apoptosis_healthy,True
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrMito_7_1,0.0172,apoptosis_healthy,True
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrDNA_1_1,0.0279,apoptosis_healthy,True
Cells_RadialDistribution_ZernikeMagnitude_CorrMito_6_2,0.016,apoptosis_healthy,True
Nuclei_RadialDistribution_MeanFrac_CorrDNA_3of4,0.0419,apoptosis_healthy,True
Nuclei_Texture_Correlation_CorrPM_3_02_256,0.0134,apoptosis_healthy,True
Cells_RadialDistribution_ZernikeMagnitude_CorrMito_9_1,0.0238,apoptosis_healthy,True
Nuclei_RadialDistribution_ZernikeMagnitude_CorrMito_7_5,0.0309,apoptosis_healthy,True
Cells_RadialDistribution_ZernikeMagnitude_CorrER_5_5,0.0022,apoptosis_healthy,True
Cells_RadialDistribution_ZernikeMagnitude_CorrDNA_6_0,0.0019,apoptosis_healthy,True
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrMito_6_4,0.0466,apoptosis_healthy,True
Cells_RadialDistribution_ZernikeMagnitude_CorrDNA_8_0,0.0161,apoptosis_healthy,True
Nuclei_Intensity_MADIntensity_CorrDNA,0.0411,apoptosis_healthy,True
Cytoplasm_Correlation_Overlap_CorrGasdermin_CorrPM,0.001,apoptosis_healthy,True
Cells_RadialDistribution_ZernikeMagnitude_CorrER_3_3,0.0074,apoptosis_healthy,True
Cells_RadialDistribution_ZernikeMagnitude_CorrGasdermin_2_0,0.008,apoptosis_healthy,True
Cytoplasm_Texture_InverseDifferenceMoment_CorrER_3_00_256,0.0048,apoptosis_healthy,True
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrER_5_1,0.0065,apoptosis_healthy,True
Cells_RadialDistribution_ZernikeMagnitude_CorrDNA_6_6,0.0222,apoptosis_healthy,True
Cytoplasm_Texture_InfoMeas1_CorrMito_3_03_256,0.0071,apoptosis_healthy,True
Nuclei_RadialDistribution_ZernikeMagnitude_CorrDNA_6_0,0.042,apoptosis_healthy,True
Nuclei_RadialDistribution_FracAtD_CorrMito_2of4,0.0492,apoptosis_healthy,True
Cells_RadialDistribution_RadialCV_CorrDNA_2of4,0.0045,apoptosis_healthy,True
Nuclei_RadialDistribution_ZernikeMagnitude_CorrMito_4_2,0.0036,apoptosis_healthy,True
Cytoplasm_Texture_Correlation_CorrGasdermin_3_01_256,0.0148,apoptosis_healthy,True
Cells_Texture_Contrast_CorrGasdermin_3_00_256,0.0191,apoptosis_healthy,True
Cells_RadialDistribution_RadialCV_CorrGasdermin_4of4,0.0406,apoptosis_healthy,True
Cytoplasm_Texture_InfoMeas1_CorrMito_3_00_256,0.0176,apoptosis_healthy,True
Nuclei_Intensity_MassDisplacement_CorrDNA,0.0294,apoptosis_healthy,True
Nuclei_Texture_Correlation_CorrPM_3_03_256,0.0147,apoptosis_healthy,True
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrMito_9_1,0.0145,apoptosis_healthy,True
Cytoplasm_Texture_DifferenceEntropy_CorrGasdermin_3_02_256,0.0422,apoptosis_healthy,True
Cytoplasm_Texture_InfoMeas2_CorrPM_3_00_256,0.001,apoptosis_healthy,True
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrDNA_5_1,0.0022,apoptosis_healthy,True
Cells_RadialDistribution_ZernikeMagnitude_CorrMito_4_0,0.0249,apoptosis_healthy,True
Nuclei_Correlation_Overlap_CorrGasdermin_CorrPM,0.0087,apoptosis_healthy,True
Nuclei_Intensity_IntegratedIntensity_CorrMito,0.0282,apoptosis_healthy,True
Nuclei_AreaShape_Zernike_4_0,0.0184,apoptosis_healthy,True
Cytoplasm_Texture_AngularSecondMoment_CorrGasdermin_3_01_256,0.0231,apoptosis_healthy,True
Cells_RadialDistribution_ZernikeMagnitude_CorrMito_9_9,0.0214,apoptosis_healthy,True
Cytoplasm_Texture_AngularSecondMoment_CorrMito_3_01_256,0.0414,apoptosis_healthy,True
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrDNA_3_1,0.0136,apoptosis_healthy,True
Cells_RadialDistribution_ZernikeMagnitude_CorrDNA_6_4,0.0305,apoptosis_healthy,True
Cytoplasm_Texture_Correlation_CorrGasdermin_3_03_256,0.0096,apoptosis_healthy,True
Cytoplasm_Texture_Variance_CorrDNA_3_03_256,0.0481,apoptosis_healthy,True
Cytoplasm_Texture_AngularSecondMoment_CorrMito_3_03_256,0.0389,apoptosis_healthy,True
Cells_Texture_Contrast_CorrDNA_3_00_256,0.0323,apoptosis_healthy,True
Cells_RadialDistribution_ZernikeMagnitude_CorrDNA_1_1,0.0286,apoptosis_healthy,True
Cytoplasm_RadialDistribution_MeanFrac_CorrPM_3of4,0.001,apoptosis_healthy,True
Cells_RadialDistribution_ZernikeMagnitude_CorrER_7_3,0.0134,apoptosis_healthy,True
Cytoplasm_Texture_Entropy_CorrMito_3_02_256,0.006,apoptosis_healthy,True
Cytoplasm_Texture_Contrast_CorrDNA_3_03_256,0.022,apoptosis_healthy,True
Cytoplasm_Texture_DifferenceEntropy_CorrGasdermin_3_00_256,0.0366,apoptosis_healthy,True
Nuclei_RadialDistribution_ZernikeMagnitude_CorrER_7_3,0.0323,apoptosis_healthy,True
Cytoplasm_Texture_AngularSecondMoment_CorrGasdermin_3_02_256,0.0106,apoptosis_healthy,True
Cells_Neighbors_FirstClosestDistance_Adjacent,0.0094,apoptosis_healthy,True
Nuclei_RadialDistribution_ZernikeMagnitude_CorrMito_9_5,0.0233,apoptosis_healthy,True
Nuclei_RadialDistribution_RadialCV_CorrDNA_3of4,0.019,apoptosis_healthy,True
Nuclei_RadialDistribution_ZernikeMagnitude_CorrER_5_3,0.0281,apoptosis_healthy,True
Cells_RadialDistribution_ZernikeMagnitude_CorrER_1_1,0.0294,apoptosis_healthy,True
Nuclei_RadialDistribution_ZernikeMagnitude_CorrMito_9_3,0.0307,apoptosis_healthy,True
Cytoplasm_Texture_InfoMeas1_CorrGasdermin_3_01_256,0.0231,apoptosis_healthy,True
Cells_RadialDistribution_ZernikeMagnitude_CorrDNA_8_8,0.0159,apoptosis_healthy,True
Cytoplasm_Texture_DifferenceEntropy_CorrMito_3_03_256,0.017,apoptosis_healthy,True
Cytoplasm_Texture_DifferenceEntropy_CorrMito_3_01_256,0.0243,apoptosis_healthy,True
Nuclei_Texture_InfoMeas2_CorrPM_3_03_256,0.019,apoptosis_healthy,True
Nuclei_RadialDistribution_ZernikeMagnitude_CorrMito_4_0,0.0235,apoptosis_healthy,True
Cells_RadialDistribution_ZernikeMagnitude_CorrMito_8_2,0.023,apoptosis_healthy,True
Cells_RadialDistribution_ZernikeMagnitude_CorrER_7_5,0.0108,apoptosis_healthy,True
Cytoplasm_Intensity_MADIntensity_CorrMito,0.0015,apoptosis_healthy,True
Cytoplasm_AreaShape_Compactness,0.0222,apoptosis_healthy,True
Nuclei_RadialDistribution_ZernikeMagnitude_CorrPM_2_0,0.0419,apoptosis_healthy,True
Nuclei_RadialDistribution_FracAtD_CorrMito_4of4,0.0178,apoptosis_healthy,True
Cytoplasm_Texture_AngularSecondMoment_CorrER_3_00_256,0.0171,apoptosis_healthy,True
Cells_RadialDistribution_ZernikeMagnitude_CorrMito_6_4,0.0205,apoptosis_healthy,True
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrMito_9_9,0.0193,apoptosis_healthy,True
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrMito_6_6,0.0013,apoptosis_healthy,True
Cells_RadialDistribution_ZernikeMagnitude_CorrER_6_0,0.0255,apoptosis_healthy,True
Nuclei_Texture_InverseDifferenceMoment_CorrMito_3_02_256,0.0002,apoptosis_healthy,True
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrER_9_5,0.0264,apoptosis_healthy,True
Nuclei_RadialDistribution_ZernikeMagnitude_CorrMito_2_0,0.0262,apoptosis_healthy,True
Cytoplasm_Texture_InverseDifferenceMoment_CorrER_3_03_256,0.0098,apoptosis_healthy,True
Cytoplasm_Texture_DifferenceVariance_CorrGasdermin_3_01_256,0.0113,apoptosis_healthy,True
Nuclei_RadialDistribution_ZernikeMagnitude_CorrMito_5_1,0.0244,apoptosis_healthy,True
Cells_RadialDistribution_ZernikeMagnitude_CorrMito_7_7,0.0136,apoptosis_healthy,True
Cells_RadialDistribution_ZernikeMagnitude_CorrMito_8_4,0.025,apoptosis_healthy,True
Cytoplasm_Texture_InverseDifferenceMoment_CorrGasdermin_3_01_256,0.0095,apoptosis_healthy,True
Nuclei_Texture_Correlation_CorrDNA_3_03_256,0.0422,apoptosis_healthy,True
Nuclei_Correlation_RWC_CorrMito_CorrGasdermin,0.0128,apoptosis_healthy,True
Nuclei_RadialDistribution_ZernikeMagnitude_CorrER_9_1,0.0384,apoptosis_healthy,True
Cells_RadialDistribution_ZernikeMagnitude_CorrMito_9_5,0.0164,apoptosis_healthy,True
Cells_RadialDistribution_ZernikeMagnitude_CorrER_5_3,0.0125,apoptosis_healthy,True
Cells_RadialDistribution_ZernikeMagnitude_CorrDNA_6_2,0.0102,apoptosis_healthy,True
Cells_Correlation_Overlap_CorrDNA_CorrMito,0.0216,apoptosis_healthy,True
Cells_RadialDistribution_ZernikeMagnitude_CorrMito_7_1,0.026,apoptosis_healthy,True
Cytoplasm_Texture_SumVariance_CorrMito_3_03_256,0.0168,apoptosis_healthy,True
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrPM_8_6,0.0191,apoptosis_healthy,True
Cytoplasm_Texture_AngularSecondMoment_CorrPM_3_03_256,0.0338,apoptosis_healthy,True
Nuclei_Texture_DifferenceVariance_CorrGasdermin_3_03_256,0.0307,apoptosis_healthy,True
Cytoplasm_Texture_AngularSecondMoment_CorrER_3_01_256,0.024,apoptosis_healthy,True
Nuclei_Texture_InverseDifferenceMoment_CorrER_3_03_256,0.0136,apoptosis_healthy,True
Cells_RadialDistribution_ZernikeMagnitude_CorrMito_2_2,0.019,apoptosis_healthy,True
Cells_RadialDistribution_ZernikeMagnitude_CorrER_8_4,0.0217,apoptosis_healthy,True
Cytoplasm_Texture_InfoMeas2_CorrMito_3_00_256,0.005,apoptosis_healthy,True
Nuclei_RadialDistribution_ZernikeMagnitude_CorrMito_3_1,0.0366,apoptosis_healthy,True
Nuclei_Texture_Contrast_CorrER_3_02_256,0.0314,apoptosis_healthy,True
Cytoplasm_Texture_Entropy_CorrMito_3_00_256,0.0115,apoptosis_healthy,True
Cells_RadialDistribution_ZernikeMagnitude_CorrER_4_4,0.0025,apoptosis_healthy,True
Cytoplasm_Texture_DifferenceVariance_CorrER_3_02_256,0.0217,apoptosis_healthy,True
Nuclei_RadialDistribution_ZernikeMagnitude_CorrMito_7_3,0.0157,apoptosis_healthy,True
Cells_RadialDistribution_ZernikeMagnitude_CorrMito_7_5,0.0176,apoptosis_healthy,True
Nuclei_AreaShape_Zernike_0_0,0.04,apoptosis_healthy,True
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrMito_4_2,0.0401,apoptosis_healthy,True
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrER_8_8,0.0087,apoptosis_healthy,True
Cytoplasm_Texture_Correlation_CorrMito_3_00_256,0.0344,apoptosis_healthy,True
Nuclei_RadialDistribution_FracAtD_CorrER_1of4,0.0327,apoptosis_healthy,True
Cells_RadialDistribution_ZernikeMagnitude_CorrDNA_3_1,0.0044,apoptosis_healthy,True
Cytoplasm_Texture_DifferenceEntropy_CorrGasdermin_3_01_256,0.033,apoptosis_healthy,True
Cells_RadialDistribution_ZernikeMagnitude_CorrDNA_9_5,0.001,apoptosis_healthy,True
Cytoplasm_Texture_InfoMeas2_CorrMito_3_01_256,0.0087,apoptosis_healthy,True
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrER_9_9,0.0001,apoptosis_healthy,True
Nuclei_RadialDistribution_ZernikeMagnitude_CorrMito_3_3,0.0258,apoptosis_healthy,True
Cytoplasm_Texture_InfoMeas1_CorrER_3_00_256,0.0369,apoptosis_healthy,True
Cells_AreaShape_Zernike_6_2,0.0322,apoptosis_healthy,True
Nuclei_AreaShape_Zernike_6_2,0.0289,apoptosis_healthy,True
Cells_RadialDistribution_ZernikeMagnitude_CorrMito_5_3,0.0206,apoptosis_healthy,True
Cytoplasm_Texture_Correlation_CorrDNA_3_00_256,0.0032,apoptosis_healthy,True
Nuclei_RadialDistribution_MeanFrac_CorrMito_3of4,0.0076,apoptosis_healthy,True
Nuclei_RadialDistribution_FracAtD_CorrER_4of4,0.0461,apoptosis_healthy,True
Cytoplasm_Texture_InverseDifferenceMoment_CorrGasdermin_3_02_256,0.0019,apoptosis_healthy,True
Cells_RadialDistribution_ZernikeMagnitude_CorrER_2_2,0.0253,apoptosis_healthy,True
Cytoplasm_Correlation_Overlap_CorrGasdermin_CorrMito,0.0115,apoptosis_healthy,True
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrMito_1_1,0.0166,apoptosis_healthy,True
Nuclei_Intensity_IntegratedIntensity_CorrDNA,0.0203,apoptosis_healthy,True
Nuclei_Correlation_Overlap_CorrER_CorrMito,0.0245,apoptosis_healthy,True
Cytoplasm_Texture_InfoMeas1_CorrGasdermin_3_02_256,0.0119,apoptosis_healthy,True
Cytoplasm_Texture_InfoMeas2_CorrGasdermin_3_03_256,0.0477,apoptosis_healthy,True
Cells_RadialDistribution_ZernikeMagnitude_CorrER_6_6,0.0034,apoptosis_healthy,True
Cytoplasm_Texture_InfoMeas2_CorrPM_3_02_256,0.0025,apoptosis_healthy,True
Cytoplasm_Texture_Correlation_CorrDNA_3_01_256,0.0221,apoptosis_healthy,True
Nuclei_RadialDistribution_ZernikeMagnitude_CorrER_6_6,0.0181,apoptosis_healthy,True
Cytoplasm_Texture_InfoMeas1_CorrMito_3_01_256,0.0289,apoptosis_healthy,True
Cells_RadialDistribution_ZernikeMagnitude_CorrMito_7_3,0.0228,apoptosis_healthy,True
Nuclei_RadialDistribution_ZernikeMagnitude_CorrMito_5_5,0.008,apoptosis_healthy,True
Nuclei_Intensity_MaxIntensityEdge_CorrDNA,0.0291,apoptosis_healthy,True
Cells_RadialDistribution_ZernikeMagnitude_CorrDNA_5_5,0.0152,apoptosis_healthy,True
Cytoplasm_Texture_DifferenceVariance_CorrER_3_03_256,0.018,apoptosis_healthy,True
Cells_RadialDistribution_ZernikeMagnitude_CorrER_9_3,0.0154,apoptosis_healthy,True
Cytoplasm_Texture_InverseDifferenceMoment_CorrER_3_02_256,0.0068,apoptosis_healthy,True
Cells_RadialDistribution_ZernikeMagnitude_CorrMito_9_3,0.0162,apoptosis_healthy,True
Nuclei_RadialDistribution_ZernikeMagnitude_CorrDNA_3_1,0.0478,apoptosis_healthy,True
Nuclei_Texture_Contrast_CorrER_3_01_256,0.0384,apoptosis_healthy,True
Cells_RadialDistribution_ZernikeMagnitude_CorrDNA_7_3,0.0073,apoptosis_healthy,True
Cytoplasm_Texture_SumEntropy_CorrER_3_02_256,0.0063,apoptosis_healthy,True
Nuclei_RadialDistribution_ZernikeMagnitude_CorrDNA_4_2,0.0398,apoptosis_healthy,True
Cells_RadialDistribution_ZernikeMagnitude_CorrGasdermin_7_1,0.0299,apoptosis_healthy,True
Cells_RadialDistribution_ZernikeMagnitude_CorrER_8_2,0.0152,apoptosis_healthy,True
Nuclei_RadialDistribution_ZernikeMagnitude_CorrMito_6_0,0.0048,apoptosis_healthy,True
Nuclei_RadialDistribution_ZernikeMagnitude_CorrMito_9_1,0.0193,apoptosis_healthy,True
Nuclei_Neighbors_SecondClosestDistance_Adjacent,0.0375,apoptosis_healthy,True
Cytoplasm_Texture_DifferenceVariance_CorrMito_3_01_256,0.029,apoptosis_healthy,True
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrMito_5_1,0.029,apoptosis_healthy,True
Cytoplasm_Texture_InfoMeas1_CorrER_3_02_256,0.0256,apoptosis_healthy,True
Cells_RadialDistribution_ZernikeMagnitude_CorrDNA_4_2,0.0402,apoptosis_healthy,True
Cells_RadialDistribution_ZernikeMagnitude_CorrMito_9_7,0.0155,apoptosis_healthy,True
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrER_7_7,0.0015,apoptosis_healthy,True
Cytoplasm_Texture_InfoMeas2_CorrGasdermin_3_00_256,0.0434,apoptosis_healthy,True
Cells_RadialDistribution_ZernikeMagnitude_CorrER_8_8,0.0089,apoptosis_healthy,True
Cytoplasm_Texture_InfoMeas2_CorrPM_3_03_256,0.0091,apoptosis_healthy,True
Nuclei_Texture_Contrast_CorrER_3_00_256,0.0317,apoptosis_healthy,True
Nuclei_RadialDistribution_FracAtD_CorrMito_1of4,0.0306,apoptosis_healthy,True
Nuclei_RadialDistribution_ZernikeMagnitude_CorrER_4_2,0.0135,apoptosis_healthy,True
Nuclei_RadialDistribution_ZernikeMagnitude_CorrMito_7_7,0.0038,apoptosis_healthy,True
Cells_RadialDistribution_ZernikeMagnitude_CorrMito_8_6,0.012,apoptosis_healthy,True
Cells_Intensity_StdIntensityEdge_CorrER,0.0092,apoptosis_healthy,True
Cells_Texture_Correlation_CorrDNA_3_01_256,0.0152,apoptosis_healthy,True
Cells_RadialDistribution_ZernikeMagnitude_CorrMito_8_0,0.0087,apoptosis_healthy,True
Nuclei_Intensity_IntegratedIntensity_CorrPM,0.0298,apoptosis_healthy,True
Nuclei_Texture_Contrast_CorrER_3_03_256,0.0247,apoptosis_healthy,True
Cells_RadialDistribution_ZernikeMagnitude_CorrMito_6_0,0.0293,apoptosis_healthy,True
Cells_Intensity_StdIntensityEdge_CorrMito,0.0032,apoptosis_healthy,True
Cytoplasm_Texture_InfoMeas1_CorrGasdermin_3_03_256,0.0297,apoptosis_healthy,True
Cytoplasm_Texture_DifferenceEntropy_CorrER_3_02_256,0.0381,apoptosis_healthy,True
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrER_6_6,0.0124,apoptosis_healthy,True
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrPM_6_4,0.0237,apoptosis_healthy,True
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrER_8_6,0.046,apoptosis_healthy,True
Cytoplasm_Texture_DifferenceVariance_CorrER_3_00_256,0.0211,apoptosis_healthy,True
Cytoplasm_Texture_InfoMeas2_CorrGasdermin_3_02_256,0.0403,apoptosis_healthy,True
Cytoplasm_Intensity_MassDisplacement_CorrMito,0.0121,apoptosis_healthy,True
