cytokine,apoptosis_healthy_p-adj,apoptosis_pyroptosis_p-adj,healthy_pyroptosis_p-adj,none_significant,apoptotic,pyroptotic,healthy,all_significant,putative_function
IL-7,0.9914,0.595,0.1389,none_significant, , ,, ,Not Annotated
IL-8,0.0002,0.0555,0.0, , , ,healthy, ,Not Annotated
IL-9,0.9296,0.9449,0.9953,none_significant, , ,, ,Not Annotated
LIF,0.5722,0.0959,0.0412, , , ,, ,Not Annotated
LOX1 (OLR1),0.9965,0.0,0.0, , ,pyroptotic,, ,Not Annotated
Leptin,0.9969,0.324,0.0071, , , ,, ,Not Annotated
M-CSF R (CD115),0.0111,0.0048,0.7889, ,apoptotic, ,, ,Not Annotated
M-CSF,0.7645,0.1595,0.0285, , , ,, ,Not Annotated
MIF,0.1352,0.0,0.0, , ,pyroptotic,, ,Not Annotated
MMP-1,0.9997,0.3043,0.0026, , , ,, ,Not Annotated
MMP-10,0.4331,0.011,0.0, , ,pyroptotic,, ,Not Annotated
MMP-12,0.9258,0.5419,0.2727,none_significant, , ,, ,Not Annotated
MMP-2,1.0,0.3877,0.0102, , , ,, ,Not Annotated
MMP-3,0.913,0.92,0.9994,none_significant, , ,, ,Not Annotated
MMP-7,0.7562,0.9069,0.7945,none_significant, , ,, ,Not Annotated
MMP-9,0.5081,0.0,0.0, , ,pyroptotic,, ,Not Annotated
Mesothelin,0.7291,0.0067,0.0, , ,pyroptotic,, ,Not Annotated
NF-L,0.237,0.7027,0.161,none_significant, , ,, ,Not Annotated
NGF beta,0.723,0.2449,0.1405,none_significant, , ,, ,Not Annotated
NRG1 beta 1,0.9656,0.2223,0.005, , , ,, ,Not Annotated
Oncostatin M (OSM),0.9101,0.0,0.0, , ,pyroptotic,, ,Not Annotated
Osteopontin (OPN),0.0,0.0,0.0, ,apoptotic,pyroptotic,healthy,all_significant,Not Annotated
PCSK9,0.9954,0.9988,0.9944,none_significant, , ,, ,Not Annotated
PDGF-BB,0.9992,0.6478,0.0958,none_significant, , ,, ,Not Annotated
PLGF,0.9976,0.2744,0.0012, , , ,, ,Not Annotated
PTX3 (Pentraxin 3),0.9534,0.0,0.0, , ,pyroptotic,, ,Not Annotated
Resistin,0.8203,0.005,0.0, , ,pyroptotic,, ,Not Annotated
SAA,0.6947,0.9815,0.0684,none_significant, , ,, ,Not Annotated
SCF,0.8107,0.9009,0.0505,none_significant, , ,, ,Not Annotated
ST2 (IL-33R),0.6853,0.1513,0.0516,none_significant, , ,, ,Not Annotated
TGF-beta 1 (LAP domain in precursor),0.6999,0.6385,0.0005, , , ,, ,Not Annotated
TGF-beta 1 (total),0.8662,0.8163,0.9724,none_significant, , ,, ,Not Annotated
TGF-beta 2,0.8642,0.9935,0.6372,none_significant, , ,, ,Not Annotated
TGF-beta 3,0.9936,0.5589,0.0977,none_significant, , ,, ,Not Annotated
TIMP1,0.1079,0.0973,0.9895,none_significant, , ,, ,Not Annotated
TNF RI,0.8696,0.4181,0.2014,none_significant, , ,, ,Not Annotated
TNF RII,0.0035,0.8617,0.0, , , ,healthy, ,Not Annotated
TNF RIII (Lymphotoxin Beta R),0.8893,0.6458,0.5919,none_significant, , ,, ,Not Annotated
TNF alpha,0.8318,0.0,0.0, , ,pyroptotic,, ,Not Annotated
TPO (Thrombopoietin),0.9132,0.9998,0.6647,none_significant, , ,, ,Not Annotated
TRAIL,0.528,0.0232,0.0013, , ,pyroptotic,, ,Not Annotated
TREM2,0.7226,0.1311,0.0, , , ,, ,Not Annotated
TSLP,0.7788,0.0782,0.0025, , , ,, ,Not Annotated
TWEAK,0.904,0.9912,0.4299,none_significant, , ,, ,Not Annotated
Tie-2,0.6768,0.9658,0.0404, , , ,, ,Not Annotated
Tissue Factor (TF),0.3955,0.0407,0.0274, , ,pyroptotic,, ,Not Annotated
VCAM-1,0.8746,0.2845,0.056,none_significant, , ,, ,Not Annotated
VEGF Receptor 2 (Flk-1),0.8152,0.8868,0.948,none_significant, , ,, ,Not Annotated
VEGF-A (165),0.0007,0.0169,0.0836, ,apoptotic, ,, ,Not Annotated
VEGF-C,0.8889,0.1987,0.0, , , ,, ,Not Annotated
VEGF-D,0.999,0.9438,0.6882,none_significant, , ,, ,Not Annotated
VEGFR-1,0.0113,0.8363,0.0, , , ,healthy, ,Not Annotated
WISP-1 (CCN4),0.9206,0.76,0.7492,none_significant, , ,, ,Not Annotated
XCL1 (Lymphotactin),0.4005,0.999,0.0159, , , ,, ,Not Annotated
uPA,0.3328,0.1137,0.3725,none_significant, , ,, ,Not Annotated
