oneb_Treatment_Dose_Inhibitor_Dose,Cytokine,Cytokine_Value
Flagellin_1.000_ug_per_ml_DMSO_0.025_%,plate_barcode,430420
Flagellin_1.000_ug_per_ml_Disulfiram_1.000_uM,plate_barcode,430420
Flagellin_1.000_ug_per_ml_DMSO_0.025_%,plate_barcode,430420
Flagellin_1.000_ug_per_ml_Disulfiram_1.000_uM,plate_barcode,430420
LPS_1.000_ug_per_ml_DMSO_0.025_%,plate_barcode,430420
LPS_1.000_ug_per_ml_DMSO_0.025_%,plate_barcode,430420
Flagellin_1.000_ug_per_ml_DMSO_0.025_%,plate_barcode,430420
Flagellin_1.000_ug_per_ml_Disulfiram_1.000_uM,plate_barcode,430420
Flagellin_1.000_ug_per_ml_DMSO_0.025_%,plate_barcode,430420
Flagellin_1.000_ug_per_ml_Disulfiram_1.000_uM,plate_barcode,430420
Thapsigargin_1.000_uM_DMSO_0.025_%,plate_barcode,430420
Thapsigargin_1.000_uM_DMSO_0.025_%,plate_barcode,430420
Thapsigargin_1.000_uM_DMSO_0.025_%,plate_barcode,430420
Thapsigargin_1.000_uM_DMSO_0.025_%,plate_barcode,430420
Disulfiram_1.000_uM_DMSO_0.025_%,plate_barcode,430420
Disulfiram_1.000_uM_DMSO_0.025_%,plate_barcode,430420
Disulfiram_1.000_uM_DMSO_0.025_%,plate_barcode,430420
Disulfiram_1.000_uM_DMSO_0.025_%,plate_barcode,430420
Topotecan_10.000_nM_DMSO_0.025_%,plate_barcode,430420
Topotecan_10.000_nM_DMSO_0.025_%,plate_barcode,430420
Topotecan_10.000_nM_DMSO_0.025_%,plate_barcode,430420
Topotecan_10.000_nM_DMSO_0.025_%,plate_barcode,430420
LPS_10.000_ug_per_ml_DMSO_0.025_%,plate_barcode,430420
LPS_10.000_ug_per_ml_Disulfiram_0.100_uM,plate_barcode,430420
LPS_10.000_ug_per_ml_Disulfiram_1.000_uM,plate_barcode,430420
LPS_10.000_ug_per_ml_Disulfiram_2.500_uM,plate_barcode,430420
LPS_10.000_ug_per_ml_Z-VAD-FMK_100.000_uM,plate_barcode,430420
LPS_10.000_ug_per_ml_DMSO_0.025_%,plate_barcode,430420
LPS_10.000_ug_per_ml_Disulfiram_0.100_uM,plate_barcode,430420
LPS_10.000_ug_per_ml_Disulfiram_1.000_uM,plate_barcode,430420
LPS_10.000_ug_per_ml_Disulfiram_2.500_uM,plate_barcode,430420
LPS_10.000_ug_per_ml_Z-VAD-FMK_100.000_uM,plate_barcode,430420
LPS_10.000_ug_per_ml_DMSO_0.025_%,plate_barcode,430420
LPS_10.000_ug_per_ml_Disulfiram_0.100_uM,plate_barcode,430420
LPS_10.000_ug_per_ml_Disulfiram_1.000_uM,plate_barcode,430420
LPS_10.000_ug_per_ml_Disulfiram_2.500_uM,plate_barcode,430420
LPS_10.000_ug_per_ml_Z-VAD-FMK_100.000_uM,plate_barcode,430420
LPS_10.000_ug_per_ml_DMSO_0.025_%,plate_barcode,430420
LPS_10.000_ug_per_ml_Disulfiram_0.100_uM,plate_barcode,430420
LPS_10.000_ug_per_ml_Disulfiram_1.000_uM,plate_barcode,430420
LPS_10.000_ug_per_ml_Disulfiram_2.500_uM,plate_barcode,430420
LPS_10.000_ug_per_ml_Z-VAD-FMK_100.000_uM,plate_barcode,430420
Thapsigargin_10.000_uM_DMSO_0.025_%,plate_barcode,430420
Thapsigargin_10.000_uM_DMSO_0.025_%,plate_barcode,430420
Thapsigargin_10.000_uM_DMSO_0.025_%,plate_barcode,430420
Thapsigargin_10.000_uM_DMSO_0.025_%,plate_barcode,430420
H2O2_100.000_nM_DMSO_0.025_%,plate_barcode,430420
H2O2_100.000_nM_DMSO_0.025_%,plate_barcode,430420
H2O2_100.000_nM_DMSO_0.025_%,plate_barcode,430420
H2O2_100.000_nM_DMSO_0.025_%,plate_barcode,430420
LPS_Nigericin_100.000_ug_per_ml_1.000_uM_DMSO_0.025_%,plate_barcode,430420
LPS_Nigericin_100.000_ug_per_ml_1.000_uM_DMSO_0.025_%,plate_barcode,430420
LPS_Nigericin_100.000_ug_per_ml_1.000_uM_DMSO_0.025_%,plate_barcode,430420
LPS_Nigericin_100.000_ug_per_ml_1.000_uM_DMSO_0.025_%,plate_barcode,430420
LPS_Nigericin_100.000_ug_per_ml_10.000_uM_DMSO_0.025_%,plate_barcode,430420
LPS_Nigericin_100.000_ug_per_ml_10.000_uM_DMSO_0.025_%,plate_barcode,430420
LPS_Nigericin_100.000_ug_per_ml_10.000_uM_DMSO_0.025_%,plate_barcode,430420
LPS_Nigericin_100.000_ug_per_ml_10.000_uM_DMSO_0.025_%,plate_barcode,430420
LPS_Nigericin_100.000_ug_per_ml_3.000_uM_DMSO_0.025_%,plate_barcode,430420
LPS_Nigericin_100.000_ug_per_ml_3.000_uM_DMSO_0.025_%,plate_barcode,430420
LPS_Nigericin_100.000_ug_per_ml_3.000_uM_DMSO_0.025_%,plate_barcode,430420
LPS_Nigericin_100.000_ug_per_ml_3.000_uM_DMSO_0.025_%,plate_barcode,430420
LPS_100.000_ug_per_ml_DMSO_0.025_%,plate_barcode,430420
LPS_100.000_ug_per_ml_DMSO_0.025_%,plate_barcode,430420
LPS_100.000_ug_per_ml_DMSO_0.025_%,plate_barcode,430420
LPS_100.000_ug_per_ml_DMSO_0.025_%,plate_barcode,430420
H2O2_100.000_uM_DMSO_0.025_%,plate_barcode,430420
H2O2_100.000_uM_Disulfiram_1.000_uM,plate_barcode,430420
H2O2_100.000_uM_Z-VAD-FMK_100.000_uM,plate_barcode,430420
H2O2_100.000_uM_DMSO_0.025_%,plate_barcode,430420
H2O2_100.000_uM_Disulfiram_1.000_uM,plate_barcode,430420
H2O2_100.000_uM_Z-VAD-FMK_100.000_uM,plate_barcode,430420
H2O2_100.000_uM_DMSO_0.025_%,plate_barcode,430420
H2O2_100.000_uM_Disulfiram_1.000_uM,plate_barcode,430420
H2O2_100.000_uM_Z-VAD-FMK_100.000_uM,plate_barcode,430420
H2O2_100.000_uM_DMSO_0.025_%,plate_barcode,430420
H2O2_100.000_uM_Disulfiram_1.000_uM,plate_barcode,430420
H2O2_100.000_uM_Z-VAD-FMK_100.000_uM,plate_barcode,430420
Disulfiram_2.500_uM_DMSO_0.025_%,plate_barcode,430420
Disulfiram_2.500_uM_DMSO_0.025_%,plate_barcode,430420
Disulfiram_2.500_uM_DMSO_0.025_%,plate_barcode,430420
Disulfiram_2.500_uM_DMSO_0.025_%,plate_barcode,430420
Topotecan_20.000_nM_DMSO_0.025_%,plate_barcode,430420
Topotecan_20.000_nM_DMSO_0.025_%,plate_barcode,430420
Topotecan_20.000_nM_DMSO_0.025_%,plate_barcode,430420
Topotecan_20.000_nM_DMSO_0.025_%,plate_barcode,430420
Topotecan_5.000_nM_DMSO_0.025_%,plate_barcode,430420
Topotecan_5.000_nM_DMSO_0.025_%,plate_barcode,430420
Topotecan_5.000_nM_DMSO_0.025_%,plate_barcode,430420
Topotecan_5.000_nM_DMSO_0.025_%,plate_barcode,430420
media_ctr_0.0_0_Media_ctr_0.0_0,plate_barcode,430420
media_ctr_0.0_0_Media_ctr_0.0_0,plate_barcode,430420
media_ctr_0.0_0_Media_ctr_0.0_0,plate_barcode,430420
media_ctr_0.0_0_Media_ctr_0.0_0,plate_barcode,430420
DMSO_0.100_%_DMSO_1.000_%,cell_type,SH-SY5Y
DMSO_0.100_%_Z-VAD-FMK_100.000_uM,cell_type,SH-SY5Y
DMSO_0.100_%_Z-VAD-FMK_30.000_uM,cell_type,SH-SY5Y
DMSO_0.100_%_Z-VAD-FMK_100.000_uM,cell_type,SH-SY5Y
DMSO_0.100_%_Z-VAD-FMK_30.000_uM,cell_type,SH-SY5Y
DMSO_0.100_%_DMSO_1.000_%,cell_type,SH-SY5Y
DMSO_0.100_%_DMSO_1.000_%,cell_type,SH-SY5Y
DMSO_0.100_%_Z-VAD-FMK_100.000_uM,cell_type,SH-SY5Y
DMSO_0.100_%_Z-VAD-FMK_30.000_uM,cell_type,SH-SY5Y
DMSO_0.100_%_Z-VAD-FMK_100.000_uM,cell_type,SH-SY5Y
DMSO_0.100_%_Z-VAD-FMK_30.000_uM,cell_type,SH-SY5Y
DMSO_0.100_%_DMSO_1.000_%,cell_type,SH-SY5Y
DMSO_0.100_%_DMSO_0.025_%,cell_type,SH-SY5Y
DMSO_0.100_%_DMSO_0.025_%,cell_type,SH-SY5Y
DMSO_0.100_%_DMSO_0.025_%,cell_type,SH-SY5Y
DMSO_0.100_%_DMSO_0.025_%,cell_type,SH-SY5Y
DMSO_0.100_%_DMSO_0.025_%,cell_type,SH-SY5Y
DMSO_0.100_%_DMSO_0.025_%,cell_type,SH-SY5Y
DMSO_0.100_%_DMSO_0.025_%,cell_type,SH-SY5Y
DMSO_0.100_%_DMSO_0.025_%,cell_type,SH-SY5Y
media_ctr_0.0_0_Media_ctr_0.0_0,cell_type,SH-SY5Y
media_ctr_0.0_0_Media_ctr_0.0_0,cell_type,SH-SY5Y
LPS_0.010_ug_per_ml_DMSO_0.025_%,cell_type,SH-SY5Y
LPS_0.010_ug_per_ml_DMSO_0.025_%,cell_type,SH-SY5Y
LPS_0.010_ug_per_ml_DMSO_0.025_%,cell_type,SH-SY5Y
LPS_0.010_ug_per_ml_DMSO_0.025_%,cell_type,SH-SY5Y
LPS_0.100_ug_per_ml_DMSO_0.025_%,cell_type,SH-SY5Y
LPS_0.100_ug_per_ml_DMSO_0.025_%,cell_type,SH-SY5Y
Flagellin_0.100_ug_per_ml_DMSO_0.025_%,cell_type,SH-SY5Y
Flagellin_0.100_ug_per_ml_DMSO_0.025_%,cell_type,SH-SY5Y
LPS_0.100_ug_per_ml_DMSO_0.025_%,cell_type,SH-SY5Y
LPS_0.100_ug_per_ml_DMSO_0.025_%,cell_type,SH-SY5Y
Flagellin_0.100_ug_per_ml_DMSO_0.025_%,cell_type,SH-SY5Y
Flagellin_0.100_ug_per_ml_DMSO_0.025_%,cell_type,SH-SY5Y
Disulfiram_0.100_uM_DMSO_0.025_%,cell_type,SH-SY5Y
Disulfiram_0.100_uM_DMSO_0.025_%,cell_type,SH-SY5Y
Disulfiram_0.100_uM_DMSO_0.025_%,cell_type,SH-SY5Y
Disulfiram_0.100_uM_DMSO_0.025_%,cell_type,SH-SY5Y
LPS_Nigericin_1.000_ug_per_ml_1.000_uM_DMSO_0.025_%,cell_type,SH-SY5Y
LPS_Nigericin_1.000_ug_per_ml_1.000_uM_DMSO_0.025_%,cell_type,SH-SY5Y
LPS_Nigericin_1.000_ug_per_ml_1.000_uM_DMSO_0.025_%,cell_type,SH-SY5Y
LPS_Nigericin_1.000_ug_per_ml_1.000_uM_DMSO_0.025_%,cell_type,SH-SY5Y
LPS_Nigericin_1.000_ug_per_ml_10.000_uM_DMSO_0.025_%,cell_type,SH-SY5Y
LPS_Nigericin_1.000_ug_per_ml_10.000_uM_Disulfiram_1.000_uM,cell_type,SH-SY5Y
LPS_Nigericin_1.000_ug_per_ml_10.000_uM_Z-VAD-FMK_100.000_uM,cell_type,SH-SY5Y
LPS_Nigericin_1.000_ug_per_ml_10.000_uM_DMSO_0.025_%,cell_type,SH-SY5Y
LPS_Nigericin_1.000_ug_per_ml_10.000_uM_Disulfiram_1.000_uM,cell_type,SH-SY5Y
LPS_Nigericin_1.000_ug_per_ml_10.000_uM_Z-VAD-FMK_100.000_uM,cell_type,SH-SY5Y
LPS_Nigericin_1.000_ug_per_ml_10.000_uM_DMSO_0.025_%,cell_type,SH-SY5Y
LPS_Nigericin_1.000_ug_per_ml_10.000_uM_Disulfiram_1.000_uM,cell_type,SH-SY5Y
LPS_Nigericin_1.000_ug_per_ml_10.000_uM_Z-VAD-FMK_100.000_uM,cell_type,SH-SY5Y
LPS_Nigericin_1.000_ug_per_ml_10.000_uM_DMSO_0.025_%,cell_type,SH-SY5Y
LPS_Nigericin_1.000_ug_per_ml_10.000_uM_Disulfiram_1.000_uM,cell_type,SH-SY5Y
LPS_Nigericin_1.000_ug_per_ml_10.000_uM_Z-VAD-FMK_100.000_uM,cell_type,SH-SY5Y
LPS_Nigericin_1.000_ug_per_ml_3.000_uM_DMSO_0.025_%,cell_type,SH-SY5Y
LPS_Nigericin_1.000_ug_per_ml_3.000_uM_DMSO_0.025_%,cell_type,SH-SY5Y
LPS_Nigericin_1.000_ug_per_ml_3.000_uM_DMSO_0.025_%,cell_type,SH-SY5Y
LPS_Nigericin_1.000_ug_per_ml_3.000_uM_DMSO_0.025_%,cell_type,SH-SY5Y
LPS_1.000_ug_per_ml_DMSO_0.025_%,cell_type,SH-SY5Y
LPS_1.000_ug_per_ml_DMSO_0.025_%,cell_type,SH-SY5Y
Flagellin_1.000_ug_per_ml_DMSO_0.025_%,cell_type,SH-SY5Y
Flagellin_1.000_ug_per_ml_Disulfiram_1.000_uM,cell_type,SH-SY5Y
Flagellin_1.000_ug_per_ml_DMSO_0.025_%,cell_type,SH-SY5Y
Flagellin_1.000_ug_per_ml_Disulfiram_1.000_uM,cell_type,SH-SY5Y
LPS_1.000_ug_per_ml_DMSO_0.025_%,cell_type,SH-SY5Y
LPS_1.000_ug_per_ml_DMSO_0.025_%,cell_type,SH-SY5Y
Flagellin_1.000_ug_per_ml_DMSO_0.025_%,cell_type,SH-SY5Y
Flagellin_1.000_ug_per_ml_Disulfiram_1.000_uM,cell_type,SH-SY5Y
Flagellin_1.000_ug_per_ml_DMSO_0.025_%,cell_type,SH-SY5Y
Flagellin_1.000_ug_per_ml_Disulfiram_1.000_uM,cell_type,SH-SY5Y
Thapsigargin_1.000_uM_DMSO_0.025_%,cell_type,SH-SY5Y
Thapsigargin_1.000_uM_DMSO_0.025_%,cell_type,SH-SY5Y
Thapsigargin_1.000_uM_DMSO_0.025_%,cell_type,SH-SY5Y
Thapsigargin_1.000_uM_DMSO_0.025_%,cell_type,SH-SY5Y
Disulfiram_1.000_uM_DMSO_0.025_%,cell_type,SH-SY5Y
Disulfiram_1.000_uM_DMSO_0.025_%,cell_type,SH-SY5Y
Disulfiram_1.000_uM_DMSO_0.025_%,cell_type,SH-SY5Y
Disulfiram_1.000_uM_DMSO_0.025_%,cell_type,SH-SY5Y
Topotecan_10.000_nM_DMSO_0.025_%,cell_type,SH-SY5Y
Topotecan_10.000_nM_DMSO_0.025_%,cell_type,SH-SY5Y
Topotecan_10.000_nM_DMSO_0.025_%,cell_type,SH-SY5Y
Topotecan_10.000_nM_DMSO_0.025_%,cell_type,SH-SY5Y
LPS_10.000_ug_per_ml_DMSO_0.025_%,cell_type,SH-SY5Y
LPS_10.000_ug_per_ml_Disulfiram_0.100_uM,cell_type,SH-SY5Y
LPS_10.000_ug_per_ml_Disulfiram_1.000_uM,cell_type,SH-SY5Y
LPS_10.000_ug_per_ml_Disulfiram_2.500_uM,cell_type,SH-SY5Y
LPS_10.000_ug_per_ml_Z-VAD-FMK_100.000_uM,cell_type,SH-SY5Y
LPS_10.000_ug_per_ml_DMSO_0.025_%,cell_type,SH-SY5Y
LPS_10.000_ug_per_ml_Disulfiram_0.100_uM,cell_type,SH-SY5Y
LPS_10.000_ug_per_ml_Disulfiram_1.000_uM,cell_type,SH-SY5Y
LPS_10.000_ug_per_ml_Disulfiram_2.500_uM,cell_type,SH-SY5Y
LPS_10.000_ug_per_ml_Z-VAD-FMK_100.000_uM,cell_type,SH-SY5Y
LPS_10.000_ug_per_ml_DMSO_0.025_%,cell_type,SH-SY5Y
LPS_10.000_ug_per_ml_Disulfiram_0.100_uM,cell_type,SH-SY5Y
LPS_10.000_ug_per_ml_Disulfiram_1.000_uM,cell_type,SH-SY5Y
LPS_10.000_ug_per_ml_Disulfiram_2.500_uM,cell_type,SH-SY5Y
LPS_10.000_ug_per_ml_Z-VAD-FMK_100.000_uM,cell_type,SH-SY5Y
LPS_10.000_ug_per_ml_DMSO_0.025_%,cell_type,SH-SY5Y
LPS_10.000_ug_per_ml_Disulfiram_0.100_uM,cell_type,SH-SY5Y
LPS_10.000_ug_per_ml_Disulfiram_1.000_uM,cell_type,SH-SY5Y
LPS_10.000_ug_per_ml_Disulfiram_2.500_uM,cell_type,SH-SY5Y
LPS_10.000_ug_per_ml_Z-VAD-FMK_100.000_uM,cell_type,SH-SY5Y
Thapsigargin_10.000_uM_DMSO_0.025_%,cell_type,SH-SY5Y
Thapsigargin_10.000_uM_DMSO_0.025_%,cell_type,SH-SY5Y
Thapsigargin_10.000_uM_DMSO_0.025_%,cell_type,SH-SY5Y
Thapsigargin_10.000_uM_DMSO_0.025_%,cell_type,SH-SY5Y
H2O2_100.000_nM_DMSO_0.025_%,cell_type,SH-SY5Y
H2O2_100.000_nM_DMSO_0.025_%,cell_type,SH-SY5Y
H2O2_100.000_nM_DMSO_0.025_%,cell_type,SH-SY5Y
H2O2_100.000_nM_DMSO_0.025_%,cell_type,SH-SY5Y
LPS_Nigericin_100.000_ug_per_ml_1.000_uM_DMSO_0.025_%,cell_type,SH-SY5Y
LPS_Nigericin_100.000_ug_per_ml_1.000_uM_DMSO_0.025_%,cell_type,SH-SY5Y
LPS_Nigericin_100.000_ug_per_ml_1.000_uM_DMSO_0.025_%,cell_type,SH-SY5Y
LPS_Nigericin_100.000_ug_per_ml_1.000_uM_DMSO_0.025_%,cell_type,SH-SY5Y
LPS_Nigericin_100.000_ug_per_ml_10.000_uM_DMSO_0.025_%,cell_type,SH-SY5Y
LPS_Nigericin_100.000_ug_per_ml_10.000_uM_DMSO_0.025_%,cell_type,SH-SY5Y
LPS_Nigericin_100.000_ug_per_ml_10.000_uM_DMSO_0.025_%,cell_type,SH-SY5Y
LPS_Nigericin_100.000_ug_per_ml_10.000_uM_DMSO_0.025_%,cell_type,SH-SY5Y
LPS_Nigericin_100.000_ug_per_ml_3.000_uM_DMSO_0.025_%,cell_type,SH-SY5Y
LPS_Nigericin_100.000_ug_per_ml_3.000_uM_DMSO_0.025_%,cell_type,SH-SY5Y
LPS_Nigericin_100.000_ug_per_ml_3.000_uM_DMSO_0.025_%,cell_type,SH-SY5Y
LPS_Nigericin_100.000_ug_per_ml_3.000_uM_DMSO_0.025_%,cell_type,SH-SY5Y
LPS_100.000_ug_per_ml_DMSO_0.025_%,cell_type,SH-SY5Y
LPS_100.000_ug_per_ml_DMSO_0.025_%,cell_type,SH-SY5Y
LPS_100.000_ug_per_ml_DMSO_0.025_%,cell_type,SH-SY5Y
LPS_100.000_ug_per_ml_DMSO_0.025_%,cell_type,SH-SY5Y
H2O2_100.000_uM_DMSO_0.025_%,cell_type,SH-SY5Y
H2O2_100.000_uM_Disulfiram_1.000_uM,cell_type,SH-SY5Y
H2O2_100.000_uM_Z-VAD-FMK_100.000_uM,cell_type,SH-SY5Y
H2O2_100.000_uM_DMSO_0.025_%,cell_type,SH-SY5Y
H2O2_100.000_uM_Disulfiram_1.000_uM,cell_type,SH-SY5Y
H2O2_100.000_uM_Z-VAD-FMK_100.000_uM,cell_type,SH-SY5Y
H2O2_100.000_uM_DMSO_0.025_%,cell_type,SH-SY5Y
H2O2_100.000_uM_Disulfiram_1.000_uM,cell_type,SH-SY5Y
H2O2_100.000_uM_Z-VAD-FMK_100.000_uM,cell_type,SH-SY5Y
H2O2_100.000_uM_DMSO_0.025_%,cell_type,SH-SY5Y
H2O2_100.000_uM_Disulfiram_1.000_uM,cell_type,SH-SY5Y
H2O2_100.000_uM_Z-VAD-FMK_100.000_uM,cell_type,SH-SY5Y
Disulfiram_2.500_uM_DMSO_0.025_%,cell_type,SH-SY5Y
Disulfiram_2.500_uM_DMSO_0.025_%,cell_type,SH-SY5Y
Disulfiram_2.500_uM_DMSO_0.025_%,cell_type,SH-SY5Y
Disulfiram_2.500_uM_DMSO_0.025_%,cell_type,SH-SY5Y
Topotecan_20.000_nM_DMSO_0.025_%,cell_type,SH-SY5Y
Topotecan_20.000_nM_DMSO_0.025_%,cell_type,SH-SY5Y
Topotecan_20.000_nM_DMSO_0.025_%,cell_type,SH-SY5Y
Topotecan_20.000_nM_DMSO_0.025_%,cell_type,SH-SY5Y
Topotecan_5.000_nM_DMSO_0.025_%,cell_type,SH-SY5Y
Topotecan_5.000_nM_DMSO_0.025_%,cell_type,SH-SY5Y
Topotecan_5.000_nM_DMSO_0.025_%,cell_type,SH-SY5Y
Topotecan_5.000_nM_DMSO_0.025_%,cell_type,SH-SY5Y
media_ctr_0.0_0_Media_ctr_0.0_0,cell_type,SH-SY5Y
media_ctr_0.0_0_Media_ctr_0.0_0,cell_type,SH-SY5Y
media_ctr_0.0_0_Media_ctr_0.0_0,cell_type,SH-SY5Y
media_ctr_0.0_0_Media_ctr_0.0_0,cell_type,SH-SY5Y
DMSO_0.100_%_DMSO_1.000_%,incubation inducer,6_h
DMSO_0.100_%_Z-VAD-FMK_100.000_uM,incubation inducer,6_h
DMSO_0.100_%_Z-VAD-FMK_30.000_uM,incubation inducer,6_h
DMSO_0.100_%_Z-VAD-FMK_100.000_uM,incubation inducer,6_h
DMSO_0.100_%_Z-VAD-FMK_30.000_uM,incubation inducer,6_h
DMSO_0.100_%_DMSO_1.000_%,incubation inducer,6_h
DMSO_0.100_%_DMSO_1.000_%,incubation inducer,6_h
DMSO_0.100_%_Z-VAD-FMK_100.000_uM,incubation inducer,6_h
DMSO_0.100_%_Z-VAD-FMK_30.000_uM,incubation inducer,6_h
DMSO_0.100_%_Z-VAD-FMK_100.000_uM,incubation inducer,6_h
DMSO_0.100_%_Z-VAD-FMK_30.000_uM,incubation inducer,6_h
DMSO_0.100_%_DMSO_1.000_%,incubation inducer,6_h
DMSO_0.100_%_DMSO_0.025_%,incubation inducer,6_h
DMSO_0.100_%_DMSO_0.025_%,incubation inducer,6_h
DMSO_0.100_%_DMSO_0.025_%,incubation inducer,6_h
DMSO_0.100_%_DMSO_0.025_%,incubation inducer,6_h
DMSO_0.100_%_DMSO_0.025_%,incubation inducer,6_h
DMSO_0.100_%_DMSO_0.025_%,incubation inducer,6_h
DMSO_0.100_%_DMSO_0.025_%,incubation inducer,6_h
DMSO_0.100_%_DMSO_0.025_%,incubation inducer,6_h
media_ctr_0.0_0_Media_ctr_0.0_0,incubation inducer,6_h
media_ctr_0.0_0_Media_ctr_0.0_0,incubation inducer,6_h
LPS_0.010_ug_per_ml_DMSO_0.025_%,incubation inducer,6_h
LPS_0.010_ug_per_ml_DMSO_0.025_%,incubation inducer,6_h
LPS_0.010_ug_per_ml_DMSO_0.025_%,incubation inducer,6_h
LPS_0.010_ug_per_ml_DMSO_0.025_%,incubation inducer,6_h
LPS_0.100_ug_per_ml_DMSO_0.025_%,incubation inducer,6_h
LPS_0.100_ug_per_ml_DMSO_0.025_%,incubation inducer,6_h
Flagellin_0.100_ug_per_ml_DMSO_0.025_%,incubation inducer,6_h
